"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mroh2b",8587.88267839871,1.04236162351059,0.557299271822867,1.87038037947033,0.0614310146296181,0.399552318969309
"Muc16",7049.15631311676,0.66185171272519,0.522433222689382,1.26686375211383,0.205204011681971,0.626107350905993
"Muc2",4928.4015740477,-0.785085136109762,0.501832243592333,-1.56443741137433,0.117714880683569,0.448726325858525
"Muc3",14757.9914060211,0.863805907296559,0.561143774285646,1.53936646342769,0.123714856525333,0.448726325858525
"Muc4",11700.7311458295,0.141794077474043,0.669595650921604,0.211760750355656,0.832293690731517,0.921504857958568
"Muc5b",10670.5345437699,-0.237335955061571,0.561929235796678,-0.42235915119292,0.672762889091955,0.903129306756752
"Myh1",11448.9748029512,-0.722898747465061,0.460324630578168,-1.57041074807815,0.116319583575236,0.448726325858525
"Myh2",7907.2847675733,1.08977320135683,0.571210427200651,1.90783142159627,0.0564130081785746,0.399552318969309
"Myh8",6452.69311850275,0.709399160506478,0.615165472246024,1.15318429351439,0.248834748864127,0.689875350426765
"Nav3",16559.5486096799,-2.33374727241895,0.622436847129624,-3.74937197754448,0.000177277968299726,0.00590926560999087
"Neb",7703.3836428731,-0.63786311471174,0.577568041128148,-1.10439475402036,0.269421935447135,0.690825475505475
"Notch1",123176.115136846,-0.859893067978521,0.423908720877879,-2.02848638310095,0.0425106316730648,0.386460287936952
"Notch2",17843.5880887263,-0.0701928716661702,0.52179051373348,-0.134523088900047,0.892988954721456,0.949988249703677
"Nsd1",2219.65215552339,0.420913643650063,0.709639768179626,0.593137057030772,0.553089432239571,0.891300677446295
"Obscn",12104.8994951731,-0.150735654425767,0.589199089948844,-0.255831444747911,0.798080992285124,0.921504857958568
"Oraov1",1429.60334201999,-0.385584469598243,0.836362043357666,-0.461025787409328,0.644780104032491,0.901790355290197
"P3h2",4579.00224240006,1.15906155920096,0.594203972540562,1.95061226912588,0.0511031865972426,0.399552318969309
"Pak7",4577.16550347881,0.522390559699659,0.541028032719251,0.965551742437599,0.334268532780899,0.762604572175844
"Pappa2",9837.13556700251,-0.185394274519967,0.474896170087238,-0.390389070701308,0.69624886834297,0.903783133155335
"Pcdh11x",16878.6956653033,-0.444945499289775,0.667956345624451,-0.666129608924981,0.505328260559351,0.849291194217397
"Pcdh15",16607.9715687511,0.173552084027421,0.564060758834659,0.30768331480101,0.758323317080118,0.921504857958568
"Pclo",6452.43966518087,0.819377092447786,0.464899431663618,1.76248245672336,0.0779878178700202,0.424610950460675
"Peg3",4510.58581385995,-0.989077901173331,0.593859589712607,-1.665508006113,0.0958114476898896,0.426451286756737
"Pik3ca",7730.39591691425,0.377908367146622,0.698070283898819,0.541361487321809,0.588258447114555,0.891300677446295
"Pik3cg",5693.18685964137,0.992676654896414,0.531755299003349,1.86679221957347,0.0619306094402428,0.399552318969309
"Pkhd1",8718.93836967165,0.482877223297999,0.561585512939864,0.8598462961948,0.38987377525011,0.804541662583232
"Pkhd1l1",7876.19496667764,0.269480228949113,0.637957946150862,0.422410647245685,0.672725307689777,0.903129306756752
"Plec",3382.28154842616,-0.304291165702673,0.580170131528615,-0.524486093244641,0.599940489894454,0.898157490750844
"Ppfia1",5725.01732557053,-0.365367038167495,0.62524116376231,-0.58436177805208,0.558976936446685,0.891300677446295
"Prex2",10974.0222552113,0.235560752988887,0.566134597871095,0.416086128413093,0.677346980067564,0.903129306756752
"Prkdc",5160.24022323418,-0.474985696266977,0.579549878042924,-0.819576906600258,0.412457343012706,0.81414003094493
"Ptprd",20811.4967431802,0.444518503441492,0.544784685089536,0.815952642590227,0.414527221882895,0.81414003094493
"Reln",7711.73495578241,-0.665023261998318,0.50728120055857,-1.310955858932,0.189872677122983,0.602770403565025
"Ros1",8097.5819493325,-0.169843509898477,0.582624202909447,-0.29151468313594,0.7706577157701,0.921504857958568
"Rp1",10889.5162387582,-0.478202735967753,0.539415982031926,-0.886519405981283,0.375337701667224,0.790184635088893
"Runx1t1",6955.07513377457,1.10235444621073,0.525365741251913,2.098261001153,0.0358820955582786,0.341734243412177
"Ryr1",6030.58140466611,0.858611427625182,0.555090489785404,1.54679542061172,0.121912584828019,0.448726325858525
"Ryr2",18424.9830088984,-2.79527520693862,0.617881697685428,-4.52396505254916,6.06917500926424e-06,0.000606917500926424
"Ryr3",8636.99641078665,-0.365638881498284,0.537993741406472,-0.67963408002182,0.496736185069988,0.849291194217397
"Scn9a",9383.80344790017,0.513253934653984,0.636601064146272,0.806241088117399,0.420103851595624,0.81573563416626
"Shank2",8109.20695061653,-0.303871899950717,0.554059281029002,-0.54844654778883,0.583385322235569,0.891300677446295
"Sis",9194.95587462783,0.130798904486453,0.509163510815898,0.256889784338349,0.797263856928538,0.921504857958568
